iter	Passed	Remaining
958	6108	261
959	6114	254
960	6119	248
961	6125	241
962	6130	235
963	6136	229
964	6142	222
965	6147	216
966	6153	209
967	6158	203
968	6163	197
969	6169	190
970	6174	184
971	6179	178
972	6185	171
973	6190	165
974	6196	158
975	6201	152
976	6208	146
977	6214	139
978	6220	133
979	6228	127
980	6234	120
981	6241	114
982	6248	108
983	6254	101
984	6262	95
985	6268	89
986	6274	82
987	6280	76
988	6285	69
989	6290	63
990	6296	57
991	6301	50
992	6306	44
993	6312	38
994	6318	31
995	6324	25
996	6329	19
997	6334	12
998	6340	6
999	6345	0
